Age,Debt,YearsEmployed, CreditScore,Income ,Approved
30.83,0,1.25,1,0,+
58.67,4.46,3.04,6,560,+
24.5,0.5,1.5,0,824,+
27.83,1.54,3.75,5,3,+
20.17,5.625,1.71,0,0,+
32.08,4,2.5,0,0,+
33.17,1.04,6.5,0,31285,+
22.92,11.585,0.04,0,1349,+
54.42,0.5,3.96,0,314,+
42.5,4.915,3.165,0,1442,+
22.08,0.83,2.165,0,0,+
29.92,1.835,4.335,0,200,+
38.25,6,1,0,0,+
48.08,6.04,0.04,0,2690,+
45.83,10.5,5,7,0,+
36.67,4.415,0.25,10,0,+
28.25,0.875,0.96,3,0,+
23.25,5.875,3.17,10,245,+
21.83,0.25,0.665,0,0,+
19.17,8.585,0.75,7,0,+
25,11.25,2.5,17,1208,+
23.25,1,0.835,0,0,+
47.75,8,7.875,6,1260,+
27.42,14.5,3.085,1,11,+
41.17,6.5,0.5,3,0,+
15.83,0.585,1.5,2,0,+
47,13,5.165,9,0,+
56.58,18.5,15,17,0,+
57.42,8.5,7,3,0,+
42.08,1.04,5,6,10000,+
29.25,14.79,5.04,5,0,+
42,9.79,7.96,8,0,+
49.5,7.585,7.585,15,5000,+
36.75,5.125,5,0,4000,+
22.58,10.75,0.415,5,560,+
27.83,1.5,2,11,35,+
27.25,1.585,1.835,12,713,+
23,11.75,0.5,2,551,+
27.75,0.585,0.25,2,500,+
54.58,9.415,14.415,11,300,+
34.17,9.17,4.5,12,221,+
28.92,15,5.335,11,2283,+
29.67,1.415,0.75,1,100,+
39.58,13.915,8.625,6,0,+
56.42,28,28.5,40,15,+
54.33,6.75,2.625,11,284,+
41,2.04,0.125,23,1236,+
31.92,4.46,6.04,3,300,+
41.5,1.54,3.5,0,0,+
23.92,0.665,0.165,0,0,+
25.75,0.5,0.875,0,0,+
26,1,1.75,0,0,+
37.42,2.04,0.04,0,5800,+
34.92,2.5,0,0,200,+
34.25,3,7.415,0,0,+
23.33,11.625,0.835,0,300,+
23.17,0,0.085,0,0,+
44.33,0.5,5,0,0,+
35.17,4.5,5.75,0,0,+
43.25,3,6,11,0,+
56.75,12.25,1.25,4,0,+
31.67,16.165,3,9,730,+
23.42,0.79,1.5,2,400,+
20.42,0.835,1.585,1,0,+
26.67,4.25,4.29,1,0,+
34.17,1.54,1.54,1,50000,+
36,1,2,11,456,+
25.5,0.375,0.25,3,15108,+
19.42,6.5,1.46,7,2954,+
35.17,25.125,1.625,1,500,+
32.33,7.5,1.585,0,0,-
34.83,4,12.5,0,0,-
38.58,5,13.5,0,0,-
44.25,0.5,10.75,0,0,-
44.83,7,1.625,0,2,-
20.67,5.29,0.375,1,0,-
34.08,6.5,0.125,0,0,-
19.17,0.585,0.585,0,0,-
21.67,1.165,2.5,1,20,-
21.5,9.75,0.25,0,0,-
49.58,19,0,1,0,-
27.67,1.5,2,0,0,-
39.83,0.5,0.25,0,0,-
27.25,0.625,0.455,0,0,-
37.17,4,5,0,0,-
25.67,2.21,4,0,0,-
34,4.5,1,0,0,-
49,1.5,0,0,27,-
62.5,12.75,5,0,0,-
31.42,15.5,0.5,0,0,-
52.33,1.375,9.46,0,100,-
28.75,1.5,1.5,0,225,-
28.58,3.54,0.5,0,0,-
23,0.625,0.125,0,1,-
22.5,11,3,0,0,-
28.5,1,1,2,500,-
37.5,1.75,0.25,0,400,-
35.25,16.5,4,0,0,-
18.67,5,0.375,2,38,-
25,12,2.25,2,5,-
27.83,4,5.75,2,0,-
54.83,15.5,0,20,130,-
28.75,1.165,0.5,0,0,-
25,11,4.5,0,0,-
40.92,2.25,10,0,0,-
19.75,0.75,0.795,5,5,-
29.17,3.5,3.5,3,0,-
24.5,1.04,0.5,3,147,-
24.58,12.5,0.875,0,0,-
33.75,0.75,1,3,0,-
20.67,1.25,1.375,3,210,-
25.42,1.125,1.29,2,0,-
37.75,7,11.5,7,5,-
52.5,6.5,6.29,15,11202,+
57.83,7.04,14,6,1332,+
20.75,10.335,0.335,1,50,+
39.92,6.21,0.04,1,300,+
25.67,12.5,1.21,67,258,+
24.75,12.5,1.5,12,567,+
44.17,6.665,7.375,3,0,+
23.5,9,8.5,5,0,+
34.92,5,7.5,6,1000,+
47.67,2.5,2.5,12,2510,+
22.75,11,2.5,7,809,+
34.42,4.25,3.25,2,610,+
28.42,3.5,0.835,0,0,+
67.75,5.5,13,1,0,+
20.42,1.835,2.25,1,150,+
47.42,8,6.5,6,51100,+
36.25,5,2.5,6,367,+
32.67,5.5,5.5,12,1000,+
48.58,6.5,6,0,0,+
39.92,0.54,0.5,3,1000,+
33.58,2.75,4.25,6,0,+
18.83,9.5,1.625,6,600,+
26.92,13.5,5,2,5000,+
31.25,3.75,0.625,9,0,+
56.5,16,0,15,247,+
43,0.29,1.75,8,375,+
22.33,11,2,1,278,+
27.25,1.665,5.085,9,827,+
32.83,2.5,2.75,6,2072,+
23.25,1.5,2.375,3,582,+
40.33,7.54,8,14,2300,+
30.5,6.5,4,7,3065,+
52.83,15,5.5,14,2200,+
46.67,0.46,0.415,11,6,+
58.33,10,4,14,1602,+
37.33,6.5,4.25,12,0,+
23.08,2.5,1.085,11,2184,+
32.75,1.5,5.5,3,0,+
21.67,11.5,0,11,0,+
28.5,3.04,2.54,1,0,+
68.67,15,0,14,3376,+
28,2,4.165,2,0,+
34.08,0.08,0.04,1,2000,+
27.67,2,1,4,7544,+
44,2,1.75,2,15,+
25.08,1.71,1.665,1,20,+
32,1.75,0.04,0,0,+
60.58,16.5,11,0,10561,+
40.83,10,1.75,0,837,+
19.33,9.5,1,0,400,+
32.33,0.54,0.04,0,11177,+
36.67,3.25,9,0,639,+
37.5,1.125,1.5,0,0,+
25.08,2.54,0.25,0,0,+
41.33,0,15,0,0,+
56,12.5,8,0,2028,+
49.83,13.585,8.5,0,0,+
22.67,10.5,1.335,0,0,+
27,1.5,0.375,0,1065,+
25,12.5,3,0,0,+
26.08,8.665,1.415,0,150,+
18.42,9.25,1.21,4,540,+
20.17,8.17,1.96,14,158,+
47.67,0.29,15,20,15000,+
21.25,2.335,0.5,4,0,+
20.67,3,0.165,3,6,+
57.08,19.5,5.5,7,3000,+
22.42,5.665,2.585,7,3257,+
48.75,8.5,12.5,9,1655,+
40,6.5,3.5,1,500,+
40.58,5,5,7,3065,+
28.67,1.04,2.5,5,1430,+
33.08,4.625,1.625,2,0,+
21.33,10.5,3,0,0,+
42,0.205,5.125,0,0,+
41.75,0.96,2.5,0,600,+
22.67,1.585,3.085,6,0,+
34.5,4.04,8.5,7,0,+
28.25,5.04,1.5,8,7,+
33.17,3.165,3.165,3,0,+
48.17,7.625,15.5,12,790,+
27.58,2.04,2,3,560,+
22.58,10.04,0.04,9,396,+
24.08,0.5,1.25,1,678,+
41.33,1,2.25,0,300,+
24.83,2.75,2.25,6,600,+
20.75,10.25,0.71,2,0,+
36.33,2.125,0.085,1,1187,+
35.42,12,14,8,6590,+
71.58,0,0,0,0,+
28.67,9.335,5.665,6,168,+
35.17,2.5,4.5,7,1270,+
39.5,4.25,6.5,16,1210,+
39.33,5.875,10,14,0,+
24.33,6.625,5.5,0,0,+
60.08,14.5,18,15,1000,+
23.08,11.5,3.5,9,742,+
26.67,2.71,5.25,1,0,+
48.17,3.5,3.5,0,0,+
41.17,4.04,7,8,0,+
55.92,11.5,5,5,8851,+
53.92,9.625,8.665,5,0,+
18.92,9.25,1,4,500,+
50.08,12.54,2.29,3,0,+
65.42,11,20,7,0,+
17.58,9,1.375,0,0,+
18.83,9.54,0.085,0,0,+
37.75,5.5,0.125,0,0,+
23.25,4,0.25,0,0,+
18.08,5.5,0.5,0,0,+
22.5,8.46,2.46,0,0,+
19.67,0.375,2,2,0,+
22.08,11,0.665,0,0,+
25.17,3.5,0.625,7,7059,+
47.42,3,13.875,2,1704,+
33.5,1.75,4.5,4,857,+
27.67,13.75,5.75,0,500,+
58.42,21,10,13,6700,+
20.67,1.835,2.085,5,2503,+
26.17,0.25,0,0,0,+
21.33,7.5,1.415,1,9800,+
42.83,4.625,4.58,0,0,+
38.17,10.125,2.5,6,196,+
20.5,10,2.5,0,0,+
48.25,25.085,1.75,3,14,+
28.33,5,11,0,0,+
18.75,7.5,2.71,5,26726,+
18.5,2,1.5,2,300,+
33.17,3.04,2.04,1,18027,+
45,8.5,14,1,2000,+
19.67,0.21,0.29,11,99,+
24.5,12.75,4.75,2,444,+
21.83,11,0.29,6,0,+
40.25,21.5,20,11,1200,+
41.42,5,5,6,0,+
17.83,11,1,11,3000,+
23.17,11.125,0.46,1,0,+
18.17,10.25,1.085,0,13,-
20,11.045,2,0,0,-
20,0,0.5,0,0,-
20.75,9.54,0.04,0,1000,-
24.5,1.75,0.165,0,0,-
32.75,2.335,5.75,0,0,-
52.17,0,0,0,0,-
48.17,1.335,0.335,0,120,-
20.42,10.5,0,0,32,-
50.75,0.585,0,0,0,-
17.08,0.085,0.04,0,722,-
18.33,1.21,0,0,0,-
32,6,1.25,0,0,-
59.67,1.54,0.125,0,0,+
18,0.165,0.21,0,40,+
37.58,0,0,0,0,+
32.33,2.5,1.25,0,0,-
18.08,6.75,0.04,0,0,-
38.25,10.125,0.125,0,0,-
30.67,2.5,2.25,0,0,-
18.58,5.71,0.54,0,0,-
19.17,5.415,0.29,0,484,-
18.17,10,0.165,0,0,-
24.58,13.5,0,0,0,-
16.25,0.835,0.085,0,0,-
21.17,0.875,0.25,0,204,-
23.92,0.585,0.125,0,1,-
17.67,4.46,0.25,0,0,-
16.5,1.25,0.25,1,98,-
23.25,12.625,0.125,2,5552,-
17.58,10,0.165,1,1,-
29.5,0.58,0.29,1,2803,-
18.83,0.415,0.165,1,1,-
21.75,1.75,0,0,0,-
23,0.75,0.5,0,0,-
18.25,10,1,1,1,-
25.42,0.54,0.165,1,444,-
35.75,2.415,0.125,2,1,-
16.08,0.335,0,1,126,-
31.92,3.125,3.04,2,4,-
69.17,9,4,1,6,-
32.92,2.5,1.75,2,0,-
16.33,2.75,0.665,1,21,-
22.17,12.125,3.335,2,173,-
57.58,2,6.5,1,10,-
18.25,0.165,0.25,0,0,-
23.42,1,0.5,0,0,-
15.92,2.875,0.085,0,0,-
24.75,13.665,1.5,0,1,-
48.75,26.335,0,0,0,-
23.5,2.75,4.5,0,25,-
18.58,10.29,0.415,0,0,-
27.75,1.29,0.25,0,0,-
31.75,3,0,0,20,-
24.83,4.5,1,0,6,-
19,1.75,2.335,0,6,-
16.33,0.21,0.125,0,1,-
18.58,10,0.415,0,42,-
16.25,0,0.25,0,0,-
23,0.75,0.5,0,0,-
21.17,0.25,0.25,0,204,-
17.5,22,0,0,100000,+
19.17,0,0,0,1,+
36.75,0.125,1.5,0,113,+
21.25,1.5,1.5,0,8,+
18.08,0.375,10,0,0,+
33.67,0.375,0.375,0,44,+
48.58,0.205,0.25,11,2732,+
33.67,1.25,1.165,0,0,-
29.5,1.085,1,0,13,-
30.17,1.085,0.04,0,179,-
40.83,3.5,0.5,0,0,-
34.83,2.5,3,0,0,-
20.42,0,0,0,0,-
33.25,2.5,2.5,0,2,-
34.08,2.5,1,0,16,-
25.25,12.5,1,0,1062,-
34.75,2.5,0.5,0,0,-
27.67,0.75,0.165,0,251,-
47.33,6.5,1,0,228,-
34.83,1.25,0.5,0,0,-
33.25,3,2,0,0,-
28,3,0.75,0,67,-
39.08,4,3,0,0,-
42.75,4.085,0.04,0,100,-
26.92,2.25,0.5,0,4000,-
33.75,2.75,0,0,0,-
38.92,1.75,0.5,0,2,-
62.75,7,0,0,12,-
32.25,1.5,0.25,0,122,-
26.75,4.5,2.5,0,1210,-
63.33,0.54,0.585,3,0,-
27.83,1.5,2.25,1,3,-
26.17,2,0,0,1,-
22.17,0.585,0,0,0,-
22.5,11.5,1.5,0,4000,-
30.75,1.585,0.585,0,0,-
36.67,2,0.25,0,0,-
16,0.165,1,2,1,-
41.17,1.335,0.165,0,0,-
19.5,0.165,0.04,0,0,-
32.42,3,0.165,0,0,-
36.75,4.71,0,0,0,-
30.25,5.5,5.5,0,0,-
23.08,2.5,0.085,0,4208,-
26.83,0.54,0,0,0,-
16.92,0.335,0.29,0,0,-
24.42,2,0.165,2,1300,-
42.83,1.25,13.875,1,112,-
22.75,6.165,0.165,0,1000,-
39.42,1.71,0.165,0,0,-
23.58,11.5,3,0,16,-
21.42,0.75,0.75,0,2,-
33,2.5,7,0,0,-
26.33,13,0,0,1110,-
45,4.585,1,0,0,-
26.25,1.54,0.125,0,0,-
28.17,0.585,0.04,0,1004,-
20.83,0.5,1,0,0,-
28.67,14.5,0.125,0,286,-
20.67,0.835,2,0,0,-
34.42,1.335,0.125,0,4500,-
33.58,0.25,4,0,0,-
43.17,5,2.25,0,0,-
22.67,7,0.165,0,0,-
24.33,2.5,4.5,0,456,-
56.83,4.25,5,0,4,-
22.08,11.46,1.585,0,1212,-
34,5.5,1.5,0,0,-
22.58,1.5,0.54,0,67,-
21.17,0,0.5,0,0,-
26.67,14.585,0,0,0,-
22.92,0.17,0.085,0,0,-
15.17,7,1,0,0,-
39.92,5,0.21,0,0,-
27.42,12.5,0.25,0,0,-
24.75,0.54,1,0,1,-
41.17,1.25,0.25,0,195,-
33.08,1.625,0.54,0,0,-
29.83,2.04,0.04,0,1,-
23.58,0.585,0.125,0,87,-
26.17,12.5,1.25,0,17,-
31,2.085,0.085,0,0,-
20.75,5.085,0.29,0,184,-
28.92,0.375,0.29,0,140,-
51.92,6.5,3.085,0,0,-
22.67,0.335,0.75,0,0,-
34,5.085,1.085,0,0,-
69.5,6,0,0,0,-
40.33,8.125,0.165,2,18,-
19.58,0.665,1,1,2,-
16,3.125,0.085,1,6,-
17.08,0.25,0.335,4,8,-
31.25,2.835,0,5,146,-
25.17,3,1.25,1,22,-
22.67,0.79,0.085,0,0,-
40.58,1.5,0,0,0,-
22.25,0.46,0.125,0,55,-
22.25,1.25,3.25,0,0,-
22.5,0.125,0.125,0,70,-
23.58,1.79,0.54,0,1,-
38.42,0.705,0.375,2,500,-
26.58,2.54,0,0,60,-
35,2.5,1,0,0,-
20.42,1.085,1.5,0,7,-
29.42,1.25,1.75,0,0,-
26.17,0.835,1.165,0,0,-
33.67,2.165,1.5,0,0,-
24.58,1.25,0.25,0,0,-
27.67,2.04,0.25,0,50,-
37.5,0.835,0.04,0,5,-
49.17,2.29,0.29,0,3,-
33.58,0.335,0.085,0,0,-
51.83,3,1.5,0,4,-
22.92,3.165,0.165,0,1058,-
21.83,1.54,0.085,0,0,-
25.25,1,0.5,0,0,-
58.58,2.71,2.415,0,0,-
19,0,0,4,1,-
19.58,0.585,0,3,769,-
53.33,0.165,0,0,27,-
27.17,1.25,0,1,300,-
25.92,0.875,0.375,2,3,-
23.08,0,1,11,0,-
39.58,5,0,2,1,-
30.58,2.71,0.125,0,0,-
17.25,3,0.04,0,40,-
17.67,0,0,0,0,-
16.5,0.125,0.165,0,0,-
27.33,1.665,0,0,1,-
31.25,1.125,0,1,19,-
20,7,0.5,0,0,-
39.5,1.625,1.5,0,316,-
36.5,4.25,3.5,0,50,-
29.75,0.665,0.25,0,0,-
52.42,1.5,3.75,0,350,-
36.17,18.125,0.085,0,3552,-
34.58,0,0,0,0,-
29.67,0.75,0.04,0,0,-
36.17,5.5,5,0,687,-
25.67,0.29,1.5,0,0,-
24.5,2.415,0,0,0,-
24.08,0.875,0.085,4,1950,-
21.92,0.5,0.125,0,0,-
36.58,0.29,0,10,18,-
23,1.835,0,1,53,-
27.58,3,2.79,1,10,-
31.08,3.085,2.5,2,41,-
30.42,1.375,0.04,3,33,-
22.08,2.335,0.75,0,0,-
16.33,4.085,0.415,0,0,-
21.92,11.665,0.085,0,5,-
21.08,4.125,0.04,0,100,-
17.42,6.5,0.125,0,100,-
19.17,4,1,0,1000,-
20.67,0.415,0.125,0,44,-
26.75,2,0.75,0,0,-
23.58,0.835,0.085,0,5,-
39.17,2.5,10,0,0,-
22.75,11.5,0.415,0,0,-
26.5,2.71,0.085,0,0,-
16.92,0.5,0.165,6,35,-
23.5,3.165,0.415,1,80,-
17.33,9.5,1.75,10,10,-
23.75,0.415,0.04,2,6,-
34.67,1.08,1.165,0,0,-
74.83,19,0.04,2,351,-
28.17,0.125,0.085,0,2100,-
24.5,13.335,0.04,0,475,-
18.83,3.54,0,0,1,-
45.33,1,0.125,0,0,-
47.25,0.75,2.75,1,892,+
24.17,0.875,4.625,2,2000,+
39.25,9.5,6.5,14,4607,+
20.5,11.835,6,0,0,+
18.83,4.415,3,0,0,+
19.17,9.5,1.5,0,2206,+
25,0.875,1.04,0,5860,+
20.17,9.25,1.665,3,28,+
25.75,0.5,1.46,5,0,+
20.42,7,1.625,3,1391,+
39,5,3.5,10,0,+
64.08,0.165,0,1,100,+
28.25,5.125,4.75,2,7,+
28.75,3.75,1.085,1,0,+
31.33,19.5,7,16,5000,+
18.92,9,0.75,2,591,+
24.75,3,1.835,19,500,+
30.67,12,2,1,19,+
21,4.79,2.25,1,300,+
13.75,4,1.75,2,1000,+
46,4,0,0,960,+
44.33,0,2.5,0,0,+
20.25,9.96,0,0,0,+
22.67,2.54,2.585,0,0,+
60.92,5,4,4,99,+
16.08,0.75,1.75,5,690,+
28.17,0.375,0.585,4,0,+
39.17,1.71,0.125,5,0,+
20.42,7.5,1.5,1,234,+
30,5.29,2.25,5,500,+
22.83,3,1.29,1,800,+
22.5,8.5,1.75,10,990,-
28.58,1.665,2.415,0,0,-
45.17,1.5,2.5,0,0,-
41.58,1.75,0.21,0,0,-
57.08,0.335,1,0,2197,-
55.75,7.08,6.75,3,50,-
43.25,25.21,0.21,1,90,-
25.33,2.085,2.75,0,1,-
24.58,0.67,1.75,0,0,-
43.17,2.25,0.75,0,0,-
40.92,0.835,0,0,1,-
31.83,2.5,7.5,0,0,-
33.92,1.585,0,0,0,-
24.92,1.25,0,0,0,-
35.25,3.165,3.75,0,0,-
34.25,1.75,0.25,0,0,-
80.25,5.5,0.54,0,340,-
19.42,1.5,2,0,20,-
42.75,3,1,0,200,-
19.67,10,0.835,0,0,-
36.33,3.79,1.165,0,0,-
30.08,1.04,0.5,10,28,-
44.25,11,1.5,0,0,-
23.58,0.46,2.625,6,347,-
23.92,1.5,1.875,6,327,+
33.17,1,0.75,7,4071,+
48.33,12,16,0,0,+
76.75,22.29,12.75,1,109,+
51.33,10,0,11,1249,+
34.75,15,5.375,9,134,+
38.58,3.335,4,14,1344,+
22.42,11.25,0.75,4,321,+
41.92,0.42,0.21,6,948,+
29.58,4.5,7.5,2,0,+
32.17,1.46,1.085,16,2079,+
51.42,0.04,0.04,0,3000,+
22.83,2.29,2.29,7,2384,+
25,12.33,3.5,6,458,+
26.75,1.125,1.25,0,5298,+
23.33,1.5,1.415,0,200,+
24.42,12.335,1.585,0,0,+
42.17,5.04,12.75,0,0,+
20.83,3,0.04,0,0,+
23.08,11.5,2.125,11,284,+
25.17,2.875,0.875,0,0,+
43.08,0.375,0.375,8,162,+
35.75,0.915,0.75,4,1583,+
59.5,2.75,1.75,5,58,+
21,3,1.085,8,1,+
21.92,0.54,0.04,1,59,+
65.17,14,0,11,1400,+
20.33,10,1,4,1465,+
32.25,0.165,3.25,1,8000,+
30.17,0.5,1.75,11,540,+
25.17,6,1,3,0,+
39.17,1.625,1.5,10,4700,+
39.08,6,1.29,5,1097,+
31.67,0.83,1.335,8,3290,+
41,0.04,0.04,1,0,+
48.5,4.25,0.125,0,0,+
32.67,9,5.25,0,0,+
28.08,15,0,0,13212,+
73.42,17.75,0,0,0,+
64.08,20,17.5,9,1000,+
51.58,15,8.5,9,0,+
26.67,1.75,1,5,5777,+
25.33,0.58,0.29,7,5124,+
30.17,6.5,3.125,8,1200,+
27,0.75,4.25,3,150,+
23.17,0,0,0,0,+
34.17,5.25,0.085,0,6,+
38.67,0.21,0.085,0,0,+
25.75,0.75,0.25,0,23,+
46.08,3,2.375,8,4159,+
21.5,6,2.5,3,918,+
20.08,0.125,1,1,768,+
20.5,2.415,2,11,3000,+
29.5,0.46,0.54,4,500,+
42.25,1.75,0,0,1,-
29.83,1.25,0.25,0,0,-
20.08,0.25,0.125,0,0,-
23.42,0.585,0.085,0,0,-
29.58,1.75,1.25,0,0,-
16.17,0.04,0.04,0,0,+
32.33,3.5,0.5,0,0,-
47.83,4.165,0.085,0,0,-
20,1.25,0.125,0,4,-
27.58,3.25,5.085,2,1,-
22,0.79,0.29,1,283,-
19.33,10.915,0.585,2,7,-
38.33,4.415,0.125,0,0,-
29.42,1.25,0.25,2,108,-
22.67,0.75,1.585,1,9,-
32.25,14,0,2,1,-
29.58,4.75,2,1,68,-
18.42,10.415,0.125,0,375,-
22.17,2.25,0.125,0,10,-
22.67,0.165,2.25,0,0,+
25.58,0,0,0,0,+
18.83,0,0.665,0,1,-
21.58,0.79,0.665,0,0,-
23.75,12,2.085,0,0,-
22,7.835,0.165,0,0,-
36.08,2.54,0,0,1000,-
29.25,13,0.5,0,0,-
19.58,0.665,1.665,0,5,-
22.92,1.25,0.25,0,809,-
27.25,0.29,0.125,1,108,-
38.75,1.5,0,0,0,-
32.42,2.165,0,0,0,-
23.75,0.71,0.25,1,4,-
18.17,2.46,0.96,2,587,-
40.92,0.5,0.5,0,0,-
19.5,9.585,0.79,0,350,-
28.58,3.625,0.25,0,0,-
35.58,0.75,1.5,0,0,-
34.17,2.75,2.5,0,200,-
33.17,2.25,3.5,0,141,-
31.58,0.75,3.5,0,0,-
52.5,7,3,0,0,-
36.17,0.42,0.29,0,2,-
37.33,2.665,0.165,0,501,-
20.83,8.5,0.165,0,351,-
24.08,9,0.25,0,0,-
25.58,0.335,3.5,0,0,-
35.17,3.75,0,6,200,-
48.08,3.75,1,0,2,-
15.83,7.625,0.125,1,160,-
22.5,0.415,0.335,0,0,-
21.5,11.5,0.5,0,68,-
23.58,0.83,0.415,1,11,-
21.08,5,0,0,0,-
25.67,3.25,2.29,1,21,-
38.92,1.665,0.25,0,390,-
15.75,0.375,1,0,18,-
28.58,3.75,0.25,1,154,-
22.25,9,0.085,0,0,-
29.83,3.5,0.165,0,0,-
23.5,1.5,0.875,0,0,-
32.08,4,1.5,0,0,-
31.08,1.5,0.04,0,0,-
31.83,0.04,0.04,0,0,-
21.75,11.75,0.25,0,0,-
17.92,0.54,1.75,1,5,-
30.33,0.5,0.085,0,0,-
51.83,2.04,1.5,0,1,-
47.17,5.835,5.5,0,150,-
25.83,12.835,0.5,0,2,-
50.25,0.835,0.5,0,117,-
29.5,2,2,0,17,-
37.33,2.5,0.21,0,246,-
41.58,1.04,0.665,0,237,-
30.58,10.665,0.085,12,3,-
19.42,7.25,0.04,1,1,-
17.92,10.21,0,0,50,-
20.08,1.25,0,0,0,-
19.5,0.29,0.29,0,364,-
27.83,1,3,0,537,-
17.08,3.29,0.335,0,2,-
36.42,0.75,0.585,0,3,-
40.58,3.29,3.5,0,0,-
21.08,10.085,1.25,0,0,-
22.67,0.75,2,2,394,-
25.25,13.5,2,1,1,-
17.92,0.205,0.04,0,750,-
35,3.375,8.29,0,0,-